Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_PLACECE,SE_T001_001,SE_T002_002,SE_T002_001,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T014_018,SE_T014_019,SE_T014_020,SE_T014_021,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T041_001,SE_T041_002,SE_T041_003,SE_T041_004,SE_T041_005,SE_T041_006,SE_T041_007,SE_T041_008,SE_T041_009,SE_T041_010,SE_T041_011,SE_T041_012,SE_T041_013,SE_T041_014,SE_T041_015,SE_T041_016,SE_T041_017,SE_T041_018,SE_T041_019,SE_T041_020,SE_T041_021,SE_T041_022,SE_T041_023,SE_T041_024,SE_T041_025,SE_T041_026,SE_T043_001,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,SE_T099_009,SE_T099_010,SE_T099_011,SE_T099_012,SE_T099_013,SE_T110_001,SE_T110_002,SE_T110_003,SE_T110_004,SE_T110_005,SE_T111_001,SE_T111_002,SE_T111_003,SE_T111_004,SE_T111_005
"Ashford city","Ashford city, Alabama","160","00","3","6","010080","01","0080",1926,1926,330.330235613535,5.83052894453565,1926,0,0,0,1926,18,1908,1926,1921,1281,624,15,1,0,5,1,4,0,0,0,1926,1921,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1455,859,4,855,723,111,102,45,71,60,41,43,18,29,16,16,27,16,20,8,14,13,3,17,12,26,9,3,3,0,16354,1920,1462,1108,343,9,2,0,458,176,282,0,0,0,1926,1916,10,7,3,10,0,0,4,6
"Ashland town","Ashland town, Alabama","160","00","3","6","010085","01","0085",2034,2034,308.396885142255,6.59539735319237,2034,0,0,0,2034,15,2019,2034,2033,1525,501,4,3,0,1,1,0,0,0,0,2034,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,879,4,875,833,111,149,59,52,56,37,47,32,43,34,29,14,17,24,18,6,14,17,16,26,22,5,3,0,2,17031,1957,1584,1238,346,0,0,0,373,230,143,0,0,0,2034,2028,6,6,0,6,0,0,0,6
"Ashville town","Ashville town, Alabama","160","00","3","6","010090","01","0090",1494,1494,196.737953630262,7.59385757771851,1466,0,0,0,1466,35,1431,1494,1489,1062,427,0,0,0,5,0,3,0,1,1,1466,1460,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,596,0,596,485,34,86,39,23,38,9,16,13,23,27,38,15,31,17,6,11,11,1,10,14,7,6,0,3,7,22109,1403,1149,861,288,0,0,0,254,143,111,0,0,0,1466,1455,11,7,4,11,0,2,0,9
"Athens city","Athens city, Alabama","160","00","3","6","010095","01","0095",16901,16901,563.988290617672,29.9669342097338,16790,16790,0,16790,0,0,0,16901,16824,13634,3030,50,110,0,77,53,11,2,3,8,16790,16770,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13241,8265,22,8243,6704,724,770,328,306,303,315,248,249,331,202,253,174,186,205,207,143,208,87,287,204,542,277,88,27,40,25823,16318,13969,11873,1955,30,111,0,2349,1380,912,0,57,0,16790,16567,223,177,46,223,120,23,41,39
"Atmore city","Atmore city, Alabama","160","00","3","6","010100","01","0100",8046,8046,975.199749543732,8.25061737737781,8046,8046,0,8046,0,0,0,8046,8027,4480,3262,274,11,0,19,9,4,4,0,2,8046,8000,46,18,21,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,6121,3407,20,3387,3069,544,523,231,176,176,109,165,114,132,119,94,79,55,49,61,30,74,46,107,51,61,35,15,6,17,15859,7924,4922,3557,1180,179,0,6,3002,839,2070,93,0,0,8046,8039,7,0,7,7,0,0,7,0
"Attalla city","Attalla city, Alabama","160","00","3","6","010105","01","0105",6859,6859,1142.57317288397,6.00311661675653,6859,6859,6859,0,0,0,0,6859,6828,5778,1032,18,0,0,31,23,0,1,0,7,6859,6859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5339,3007,8,2999,2539,264,359,245,147,101,142,163,107,98,109,111,59,85,79,81,37,89,34,61,50,47,58,2,0,11,20176,6697,5424,4613,790,21,0,0,1273,1020,245,8,0,0,6859,6859,0,0,0,0,0,0,0,0
"Auburn city","Auburn city, Alabama","160","00","3","6","010110","01","0110",33830,33830,1041.11614966908,32.4939729450484,33830,33830,33830,0,0,0,0,33830,33516,26803,5521,58,1123,11,314,213,10,2,15,74,33830,33473,357,161,30,23,143,0,4,0,0,0,0,0,4,57,26,15,0,16,82,29307,15543,160,15383,13391,3560,2172,861,594,532,366,459,231,377,322,357,185,338,118,307,166,177,119,331,260,659,512,197,46,145,12931,29915,17977,14410,2945,0,609,13,11938,9293,2289,21,303,32,33830,32426,1404,316,1088,1404,934,261,131,78
"Autaugaville town","Autaugaville town, Alabama","160","00","3","6","010115","01","0115",681,681,250.004511410347,2.7239508445599,773,0,0,0,773,51,722,681,681,194,484,3,0,0,0,0,0,0,0,0,773,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,307,0,307,271,46,60,16,27,6,21,13,2,12,1,11,2,11,6,5,8,2,0,2,6,7,2,2,0,3,13750,773,420,199,221,0,0,0,353,27,323,3,0,0,773,773,0,0,0,0,0,0,0,0
"Avon town","Avon town, Alabama","160","00","3","6","010120","01","0120",462,462,174.148516373163,2.6529080443616,496,0,0,0,496,7,489,462,459,445,14,0,0,0,3,3,0,0,0,0,496,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,275,0,275,177,11,10,8,7,17,10,8,7,8,7,6,0,9,4,9,5,0,4,15,0,11,12,4,3,2,28393,496,443,429,14,0,0,0,53,53,0,0,0,0,496,494,2,2,0,2,0,0,0,2
"Babbie town","Babbie town, Alabama","160","00","3","6","010125","01","0125",576,576,50.6633528492834,11.3691646447783,580,0,0,0,580,16,564,576,576,572,3,0,1,0,0,0,0,0,0,0,580,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,284,0,284,223,30,23,16,10,6,13,13,10,14,13,22,6,13,7,4,5,3,4,6,0,2,0,0,0,3,22625,580,515,515,0,0,0,0,65,65,0,0,0,0,580,576,4,4,0,4,0,0,3,1
"Baileyton town","Baileyton town, Alabama","160","00","3","6","010127","01","0127",352,352,178.514935578618,1.97182380767787,347,0,0,0,347,10,337,352,352,352,0,0,0,0,0,0,0,0,0,0,347,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,155,0,155,138,12,33,5,6,4,7,9,9,8,6,9,2,3,0,2,0,4,2,3,0,4,4,3,0,3,20556,342,302,302,0,0,0,0,40,40,0,0,0,0,347,347,0,0,0,0,0,0,0,0
"Banks town","Banks town, Alabama","160","00","3","6","010130","01","0130",195,195,96.8823441396509,2.0127506382269,209,0,0,0,209,20,189,195,195,165,30,0,0,0,0,0,0,0,0,0,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,92,0,92,97,14,10,6,4,16,2,2,2,5,4,3,5,0,0,2,0,8,0,5,0,4,5,0,0,0,17266,209,172,169,3,0,0,0,37,20,17,0,0,0,209,209,0,0,0,0,0,0,0,0
"Bay Minette city","Bay Minette city, Alabama","160","00","3","6","010135","01","0135",7168,7168,940.477912056738,7.62165693431784,7168,7168,0,7168,0,0,0,7168,7125,4921,2121,58,24,1,43,39,1,1,0,2,7168,7128,40,6,0,0,34,5,6,0,0,0,6,0,0,0,0,0,0,0,23,5330,3046,0,3046,2445,228,393,199,140,231,122,134,77,98,83,61,105,79,61,68,18,39,14,68,31,123,21,28,14,10,18145,6846,5107,4036,1025,37,9,0,1739,776,957,6,0,0,7168,7133,35,30,5,35,11,4,12,8
"Bayou La Batre city","Bayou La Batre city, Alabama","160","00","3","6","010140","01","0140",2456,2456,610.34451429668,4.02395686775383,2456,0,0,0,2456,95,2361,2456,2389,1554,249,3,583,0,67,51,1,0,12,3,2456,2395,61,16,5,3,37,2,0,0,0,0,0,0,0,6,2,4,0,0,29,1701,922,0,922,765,102,156,54,55,50,30,33,43,30,30,24,15,31,13,12,11,11,5,13,13,19,5,5,0,5,15775,2453,1567,1142,152,0,268,5,886,468,96,4,318,0,2456,1952,504,107,397,504,354,133,4,13
"Bear Creek town","Bear Creek town, Alabama","160","00","3","6","010150","01","0150",913,913,67.6331849097617,13.4992903442024,1021,0,0,0,1021,102,919,913,913,913,0,0,0,0,0,0,0,0,0,0,1021,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761,476,0,476,360,47,49,42,9,18,18,16,31,29,16,30,8,1,10,8,5,1,5,4,3,2,0,8,0,0,19583,1021,852,852,0,0,0,0,169,169,0,0,0,0,1021,1020,1,1,0,1,0,0,0,1
"Beatrice town","Beatrice town, Alabama","160","00","3","6","010155","01","0155",454,454,335.76657681325,1.35212981681768,453,0,0,0,453,11,442,454,454,126,328,0,0,0,0,0,0,0,0,0,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,134,0,134,167,39,35,18,9,4,8,7,2,4,0,10,3,4,2,2,7,2,0,2,3,6,0,0,0,0,11319,451,261,113,148,0,0,0,190,16,174,0,0,0,453,453,0,0,0,0,0,0,0,0
"Beaverton town","Beaverton town, Alabama","160","00","3","6","010160","01","0160",319,319,69.5342679683555,4.58766604324035,340,0,0,0,340,11,329,319,318,307,11,0,0,0,1,0,0,0,1,0,340,338,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,262,149,0,149,136,23,17,4,5,10,8,13,6,7,2,2,11,7,4,4,8,3,0,2,0,0,0,0,0,0,20192,340,279,266,11,0,2,0,61,61,0,0,0,0,340,338,2,2,0,2,0,2,0,0
"Belk town","Belk town, Alabama","160","00","3","6","010163","01","0163",255,255,193.906911332942,1.31506400801857,257,0,0,0,257,0,257,255,255,255,0,0,0,0,0,0,0,0,0,0,257,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,155,0,155,109,4,14,7,0,14,7,6,4,8,4,4,5,9,3,5,2,5,0,6,0,2,0,0,0,0,24063,257,209,209,0,0,0,0,48,48,0,0,0,0,257,257,0,0,0,0,0,0,0,0
"Benton town","Benton town, Alabama","160","00","3","6","010167","01","0167",48,48,156.57358186398,0.306565126942673,60,0,0,0,60,9,51,48,48,33,13,2,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,0,28,22,3,6,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,21667,60,46,30,11,5,0,0,14,2,12,0,0,0,60,56,4,4,0,4,0,0,0,4
"Berry town","Berry town, Alabama","160","00","3","6","010170","01","0170",1218,1218,108.708273338158,11.2042990160572,1218,0,0,0,1218,11,1207,1218,1214,1102,110,2,0,0,4,3,0,0,0,1,1218,1213,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,478,0,478,489,92,121,28,11,17,37,31,9,16,9,22,9,7,0,20,0,12,16,9,3,14,4,0,0,2,13295,1218,847,746,101,0,0,0,371,337,32,0,0,2,1218,1215,3,0,3,3,3,0,0,0
"Bessemer city","Bessemer city, Alabama","160","00","3","6","010175","01","0175",33497,33497,865.611997246224,38.6974765906251,33497,33202,33202,0,295,0,295,33497,33421,13827,19536,37,20,1,76,45,16,0,2,13,33497,33452,45,38,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25515,13361,45,13316,12558,1993,2276,890,735,723,539,636,405,463,364,521,368,347,237,340,241,257,281,241,179,321,114,26,26,35,16331,32958,23168,11611,11502,25,30,0,9790,1988,7769,28,5,0,33497,33410,87,61,26,87,16,17,33,21
"Billingsley town","Billingsley town, Alabama","160","00","3","6","010180","01","0180",150,150,127.543729481287,1.17606722502189,133,0,0,0,133,0,133,150,150,135,15,0,0,0,0,0,0,0,0,0,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,46,0,46,58,14,4,2,9,4,7,2,3,4,2,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,15000,133,101,89,12,0,0,0,32,30,2,0,0,0,133,133,0,0,0,0,0,0,0,0
"Birmingham city","Birmingham city, Alabama","160","00","3","6","010185","01","0185",265968,265968,1791.09651450992,148.494510399276,265852,264394,264394,0,1458,18,1440,265968,264930,95123,168002,313,1431,61,1038,532,275,8,47,176,265852,264677,1175,277,120,100,678,0,62,17,0,22,17,0,6,146,76,0,25,45,470,205370,121800,394,121406,104991,14267,15342,6910,5841,6464,5423,5292,4503,4748,3918,4462,2969,2907,2253,2798,1920,1797,1483,2643,2059,3563,1922,662,275,570,19193,260150,195578,81017,112788,329,1342,102,64572,10376,53671,92,314,119,265852,262671,3181,1107,2074,3181,1775,577,336,493
"Black town","Black town, Alabama","160","00","3","6","010190","01","0190",174,174,56.4946611508086,3.07993704990139,160,0,0,0,160,10,150,174,174,172,2,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,90,0,90,63,7,8,0,3,0,6,13,0,4,0,4,0,3,2,3,2,0,0,0,6,0,2,0,0,0,21442,160,141,141,0,0,0,0,19,19,0,0,0,0,160,160,0,0,0,0,0,0,0,0
"Blountsville town","Blountsville town, Alabama","160","00","3","6","010195","01","0195",1527,1527,281.929831479897,5.41624131077055,1538,0,0,0,1538,14,1524,1527,1502,1492,0,6,4,0,25,15,0,0,0,10,1538,1532,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1189,697,4,693,624,102,75,59,32,29,26,27,40,20,21,37,27,19,11,9,9,7,6,21,15,20,12,0,0,0,18942,1535,1223,1205,0,15,3,0,312,312,0,0,0,0,1538,1535,3,0,3,3,0,3,0,0
"Blue Mountain town","Blue Mountain town, Alabama","160","00","3","6","010200","01","0200",221,221,2532.68738053097,0.0872590915479145,198,198,198,0,0,0,0,221,221,211,9,0,1,0,0,0,0,0,0,0,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,76,0,76,88,2,22,8,13,7,6,7,5,5,4,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,14808,198,174,174,0,0,0,0,24,24,0,0,0,0,198,198,0,0,0,0,0,0,0,0
"Blue Ridge CDP","Blue Ridge CDP, Alabama","160","00","3","6","010203","01","0203",1151,1151,146.01666281348,7.8826620046116,1189,0,0,0,1189,0,1189,1151,1142,1107,31,1,3,0,9,5,0,0,0,4,1189,1181,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,555,21,534,440,12,19,0,0,19,0,27,0,8,7,0,10,9,12,9,25,19,19,49,49,99,48,0,0,0,52352,1189,1100,1085,6,0,9,0,89,89,0,0,0,0,1189,1149,40,40,0,40,0,0,10,30
"Blue Springs town","Blue Springs town, Alabama","160","00","3","6","010205","01","0205",108,108,37.3107515006002,2.89460800590582,99,0,0,0,99,0,99,108,108,108,0,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,50,0,50,41,11,3,0,0,6,0,1,0,0,0,2,9,0,1,0,2,0,2,4,0,0,0,0,0,0,21250,99,85,85,0,0,0,0,14,14,0,0,0,0,99,99,0,0,0,0,0,0,0,0
"Boaz city","Boaz city, Alabama","160","00","3","6","010210","01","0210",6928,6928,610.549418626017,11.3471568208038,6921,6921,0,6921,0,0,0,6928,6903,6800,55,30,16,2,25,19,1,0,1,4,6921,6861,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5603,3216,6,3210,2869,448,472,188,111,179,124,111,108,122,52,55,106,103,84,37,64,59,31,140,56,149,44,15,0,11,18236,6780,5279,5188,21,55,4,11,1501,1463,0,38,0,0,6921,6902,19,19,0,19,0,0,0,19
